SYMBOL,RESPROUT,BINOMIAL_NAT,BINOMIAL_ACKER,NOTES
AMAL2,Yes,Amelanchier alnifolia,Amelanchier alnifolia,
AMUT,Yes,Amelanchier utahensis,Amelanchier alnifolia var. utahensis,
ARPA6,Yes,Arctostaphylos patula,Arctostaphylos patula,
ARUV,Yes,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,
ARAR8,No,Artemisia arbuscula,Artemisia arbuscula,
ARARA,No,Artemisia arbuscula ssp. arbuscula,Artemisia arbuscula ssp. arbuscula,
ARARL,No,Artemisia arbuscula ssp. longiloba,Artemisia arbuscula ssp. longiloba,
ARCA13,No,Artemisia cana,Artemisia cana,
ARFR4,Yes,Artemisia frigida,Artemisia frigida,
ARNO4,No,Artemisia nova,Artemisia nova,
PIDE4,No,Picrothamnus desertorum,Artemisia spinescens,
ARTRT,No,Artemisia tridentata ssp. tridentata,Artemisia tridentata var. tridentata,
ARTRV,No,Artemisia tridentata ssp. vaseyana,Artemisia tridentata var. vaseyana,
ARTRW8,No,Artemisia tridentata ssp. wyomingensis,Artemisia tridentata var. wyomingensis,
ARTRT2,No,Artemisia tripartita ssp. tripartita,Artemisia tripartita var. tripartita,
ATCA2,Yes,Atriplex canescens,Atriplex canescens,
ATCO,No,Atriplex confertifolia,Atriplex confertifolia,
ATGA,No,Atriplex gardneri,Atriplex gardneri,
ATCO4,No,Atriplex corrugata,Atriplex corrugata,
BEFE,Yes,Berberis fendleri,Berberis fendleri,
MAFR3,No,Mahonia fremontii,Berberis fremontii,
MARE11,Yes,Mahonia repens,Berberis repens,
BRCA3,Yes,Brickellia californica,Brickellia californica,no literature info available made call based on fire ecology and growth habits of the species. 
BRLO,Yes,Brickellia longifolia,Brickellia longifolia,no literature info available made call based on fire ecology and growth habits of the species. 
BRMIS,Yes,Brickellia microphylla var. scabra,Brickellia microphylla var. scabra,no literature info available made call based on fire ecology and growth habits of the species. 
CEFE,Yes,Ceanothus fendleri,Ceanothus fendleri,
CELE3,No,Cercocarpus ledifolius,Cercocarpus ledifolius,
CEMO2,Yes,Cercocarpus montanus,Cercocarpus montanus,
CHDE2,Yes,Chrysothamnus depressus,Chrysothamnus depressus,
CHGR6,Yes,Chrysothamnus greenei,Chrysothamnus greenei,
CHLI3,Yes,Chrysothamnus linifolius,Chrysothamnus linifolius,
CHVA2,Yes,Chrysothamnus vaseyi,Chrysothamnus vaseyi,
CHVI8,Yes,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,
CORA,No,Coleogyne ramosissima,Coleogyne ramosissima,
COSES,Yes,Cornus sericea ssp. sericea,Cornus sericea ssp. sericea,
EPTO,Yes,Ephedra torreyana,Ephedra torreyana,
EPVI,Yes,Ephedra viridis,Ephedra viridis,
EPVI,Yes,Ephedra viridis,Ephedra viridis var. viridis,
ERDID,Yes,Ericameria discoidea var. discoidea,Ericameria discoidea var. discoidea,
ERNA10,Yes,Ericameria nauseosa,Ericameria nauseosa,
ERPA30,Yes,Ericameria parryi,Ericameria parryi,
ERCO14,Yes,Eriogonum corymbosum,Eriogonum corymbosum,
ERMI4,Yes,Eriogonum microthecum,Eriogonum microthecum,
FERU,Yes,Fendlera rupicola,Fendlera rupicola,
FOPU2,Yes,Forestiera pubescens,Forestiera pubescens,
FRAN2,Yes,Fraxinus anomala,Fraxinus anomala,
GRSP,Yes,Grayia spinosa,Grayia spinosa,
GUMI,No,Gutierrezia microcephala,Gutierrezia microcephala,
GUSA2,No,Gutierrezia sarothrae,Gutierrezia sarothrae,
HEMUM,Yes,Heliomeris multiflora var. multiflora,Heliomeris multiflora var. multiflora,
HEVIN,No,Heterotheca villosa var. nana,Heterotheca villosa var. nana,
HODU,Yes,Holodiscus dumosus,Holodiscus dumosus,
BAAM4,No,Bassia americana,Kochia americana,
KRLA2,No,Krascheninnikovia lanata,Krascheninnikovia lanata,
LOIN5,Yes,Lonicera involucrata,Lonicera involucrata,
MILI3,Yes,Mirabilis linearis,Mirabilis lanceolata,no literature info available made call based on fire ecology and growth habits of the species. 
MILI3,Yes,Mirabilis linearis,Mirabilis linearis var. linearis,no literature info available made call based on fire ecology and growth habits of the species. 
MILI3,Yes,Mirabilis linearis,Mirabilis linearis var. subhispida,no literature info available made call based on fire ecology and growth habits of the species. 
DAFR6,Yes,Dasiphora fruticosa,Potentilla fruticosa,
PUST,No,Purshia stansburiana,Purshia stansburiana,
PUTR2,No,Purshia tridentata,Purshia tridentata,
QUGA,Yes,Quercus gambelii,Quercus gambelii,
RHTR,Yes,Rhus trilobata,Rhus trilobata,
ROWO,Yes,Rosa woodsii,Rosa woodsii,
SAVE4,Yes,Sarcobatus vermiculatus,Sarcobatus vermiculatus,
SYLO,Yes,Symphoricarpos longiflorus,Symphoricarpos longiflorus,
SYRO,Yes,Symphoricarpos rotundifolius,Symphoricarpos rotundifolius,
TECA2,Yes,Tetradymia canescens,Tetradymia canescens,
TENU2,Yes,Tetradymia nuttallii,Tetradymia nuttallii,
TESP2,Yes,Tetradymia spinosa,Tetradymia spinosa,
TORY,Yes,Toxicodendron rydbergii,Toxicodendron rydbergii,
MACO13,Yes,Machaeranthera coloradoensis,Xanthisma coloradoense,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5206865.pdf
