"ESD","module_name","module_number"
"R036XY325CO","PinyonJuniper",1
"R036XY114CO","PinyonJuniper",1
"R036XY113CO","PinyonJuniper",1
"R036XY284CO","PinyonJuniper",1
"R036XY287CO","PinyonJuniper",1
"R036XY111CO","PinyonJuniper",1
"R036XY289CO","PinyonJuniper",1
"R036XY326CO","PinyonJuniper",1
"R035XY413CO","PinyonJuniper",1
"R036XY110CO","PinyonJuniper",1
"R036XY328CO","PinyonJuniper",1
"R036XY405CO","PinyonJuniper",1
"R036XY445CO","PinyonJuniper",1
"R036XY446CO","PinyonJuniper",1
"R036XY142CO","PinyonJuniper",1
"R036XY141CO","PinyonJuniper",1
"R036XY346CO","PinyonJuniper",1
"R036XY347CO","PinyonJuniper",1
"R036XY310CO","PinyonJuniper",1
"R036XY038CO","PinyonJuniper",1
"R036XY266CO","PinyonJuniper",1
"R048AY238CO","PinyonJuniper",1
"R035XY409CO","PinyonJuniper",1
"R048AY241CO","PinyonJuniper",1
"R036XB008NM","PinyonJuniper",1
"F036XA005NM","PinyonJuniper",1
"R035XY262CO","PinyonJuniper",1
"R035XY414CO","PinyonJuniper",1
"R034BY404CO","FineTextured",2
"R034BY104UT","FineTextured",2
"R034BY212UT","FineTextured",2
"R034BY248UT","FineTextured",2
"R034BY240UT","FineTextured",2
"R034BY244UT","FineTextured",2
"R034BY202UT","FineTextured",2
"R034BY227UT","FineTextured",2
"R034BY233UT","FineTextured",2
"R034BY247UT","FineTextured",2
"R034BY205UT","FineTextured",2
"R034BY206UT","FineTextured",2
"R034BY251UT","FineTextured",2
"R034BY225UT","FineTextured",2
"R034BY230UT","FineTextured",2
"R034BY250UT","FineTextured",2
"R034BY209UT","FineTextured",2
"R034BY109UT","Shadscale",3
"R034BY117UT","Shadscale",3
"R034BY103UT","Shadscale",3
"R034BY121UT","Shadscale",3
"R034BY118UT","Shadscale",3
"R034BY106UT","Shadscale",3
"R034BY101UT","Shadscale",3
"R034BY322UT","ClayPinyonJuniper",4
"R034BY302UT","ClayPinyonJuniper",4
"R034BY315UT","ClayPinyonJuniper",4
"F048AY330UT","ClayPinyonJuniper",4
"R048AY366UT","ClayPinyonJuniper",4
"R048AY443UT","ClayPinyonJuniper",4
"R034BY112UT","Flats-Bottoms",5
"R034BY115UT","Flats-Bottoms",5
"R035XY015UT","Flats-Bottoms",5
"R035XY003UT","Flats-Bottoms",5
"R035XY011UT","Flats-Bottoms",5
"R034BY216UT","Flats-Bottoms",5
"R035XY009UT","Flats-Bottoms",5
"R034BY003UT","Flats-Bottoms",5
"R034BY012UT","Flats-Bottoms",5
"R034BY006UT","Flats-Bottoms",5
"R035XY012UT","Flats-Bottoms",5
"R028AY004UT","Flats-Bottoms",5
"R035XY118UT","Flats-Bottoms",5
"R035XY006UT","Flats-Bottoms",5
"R035XY103UT","Flats-Bottoms",5
"R042XB036NM","AlkaliDeserts-NM",6
"R042BB006NM","AlkaliDeserts-NM",6
"R042BB014NM","AlkaliDeserts-NM",6
"R035XY263UT","CoarseTextured",7
"R035XY240UT","CoarseTextured",7
"R035XY212UT","CoarseTextured",7
"R035XY206UT","CoarseTextured",7
"R035XY209UT","CoarseTextured",7
"R035XY234UT","CoarseTextured",7
"R035XY239UT","CoarseTextured",7
"R035XY246UT","CoarseTextured",7
"R035XY221UT","CoarseTextured",7
"R035XY216UT","CoarseTextured",7
"R035XY218UT","CoarseTextured",7
"R035XY224UT","CoarseTextured",7
"R035XY225UT","CoarseTextured",7
"R035XY227UT","CoarseTextured",7
"R035XY226UT","CoarseTextured",7
"R035XY237UT","CoarseTextured",7
"R035XY238UT","CoarseTextured",7
"R035XY125UT","CoarseTextured",7
"R035XY321UT","CoarseTextured",7
"R035XC329AZ","CoarseTextured",7
"R035XY146UT","SaltDesert",8
"R035XY260UT","SaltDesert",8
"R035XY215UT","SaltDesert",8
"R035XY018UT","SaltDesert",8
"R035XY136UT","SaltDesert",8
"R035XY122UT","SaltDesert",8
"R035XY124UT","SaltDesert",8
"R035XY126UT","SaltDesert",8
"R035XY242UT","SaltDesert",8
"R035XY233UT","SaltDesert",8
"R035XY109UT","SaltDesert",8
"R035XY133UT","SaltDesert",8
"R035XY142UT","SaltDesert",8
"R035XY230UT","SaltDesert",8
"R035XY236UT","SaltDesert",8
"R035XY306UT","SaltDesert",8
"R048AY433UT","SaltDesert",8
"R035XY130UT","SaltDesert",8
"R035XY139UT","SaltDesert",8
"R035XY243UT","SaltDesert",8
