"SYMBOL_AIM","SYMBOL_USDA","BINOMIAL_NAT","BINOMIAL_ACK","GROWTHHABIT","GROWTHHABITSUB","DURATION","NATIVITY","INVASIVE","PHOTOSYNTHETIC","RESPROUT","FUNCTIONAL"
"OPUNT","OPUNT",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"SALSO","SALSO",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"ERIGE2","ERIGE2",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"LEPID","LEPID",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"ASTRA","ASTRA",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"RIBES","RIBES",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"ANAL4","ANAL4",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"POTEN","POTEN",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"CERCO","CERCO",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"ERRA","ERRA",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"CHRYS9","CHRYS9",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
